ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Land Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Surface,Kitchen,Kitchen Type,Furnished,Openfire,Fireplace Count,Terrace,Terrace Surface,Terrace Orientation,Garden Exists,Garden Surface,Garden Orientation,Swimming Pool,State of Building,Living Surface,EPC,Cadastral Income,Has starting Price,Transaction Subtype,Heating Type,Is Holiday Property,Gas Water Electricity,Sewer,Sea view,Parking count inside,Parking count outside,url
10890595,Bruxelles,1000,2018,3,308,,APARTMENT,APARTMENT,3324000,NORMAL_SALE,3,1,4,8,,True,USA_HYPER_EQUIPPED,False,False,,True,161,,False,,,False,AS_NEW,,B,0,False,BUY_REGULAR,GAS,,,,,2,2,https://www.immoweb.be/en/classified/apartment/for-sale/Bruxelles/1000/10890595
10890545,Bruxelles,1000,2018,3,308,,APARTMENT,APARTMENT,3324000,NORMAL_SALE,3,1,4,8,,True,USA_HYPER_EQUIPPED,False,False,,True,161,,False,,,False,AS_NEW,,B,0,False,BUY_REGULAR,GAS,,,,,2,2,https://www.immoweb.be/en/classified/apartment/for-sale/Bruxelles/1000/10890545
10678827,Ixelles,1050,2019,,308,,APARTMENT,APARTMENT,3324000,NORMAL_SALE,3,3,3,9,,True,USA_HYPER_EQUIPPED,False,False,,True,161,,False,,,False,,200,B,0,False,BUY_REGULAR,GAS,,,,,,75,https://www.immoweb.be/en/classified/apartment/for-sale/Ixelles/1050/10678827
11051325,Ixelles,1050,1924,2,539,,APARTMENT,GROUND_FLOOR,3485000,NORMAL_SALE,4,5,,9,30,True,HYPER_EQUIPPED,False,False,,True,,,True,500,,False,JUST_RENOVATED,45,D,0,False,BUY_REGULAR,GAS,,,,,1,1,https://www.immoweb.be/en/classified/apartment/for-sale/Ixelles/1050/11051325
10678825,Ixelles,1050,2017,,305,,APARTMENT,APARTMENT,3324000,NORMAL_SALE,3,3,3,9,,True,HYPER_EQUIPPED,False,False,,True,166,,False,,,False,,,B,0,False,BUY_REGULAR,GAS,,,,,,1,https://www.immoweb.be/en/classified/apartment/for-sale/Ixelles/1050/10678825
10588767,Ixelles,1050,,,,,APARTMENT_GROUP,APARTMENT_GROUP,,NORMAL_SALE,,,,,,False,,False,False,,False,,,False,,,,,,B,0,False,BUY_REGULAR,,,,,,1,17,https://www.immoweb.be/en/classified/apartment_group/for-sale/Ixelles/1050/10588767
9893997,Uccle,1180,2000,4,700,1370,HOUSE,HOUSE,3500000,NORMAL_SALE,5,5,5,15,,True,HYPER_EQUIPPED,False,False,,True,60,,True,1370,,True,AS_NEW,,D,0,False,BUY_REGULAR,GAS,,,,,2,2,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/9893997
11057156,Ixelles,1050,,2,539,0,HOUSE,EXCEPTIONAL_PROPERTY,3485000,NORMAL_SALE,4,4,5,13,40,True,HYPER_EQUIPPED,False,False,,False,,,True,500,,False,JUST_RENOVATED,,D,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,1,1,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/11057156
10329107,Bruxelles,1000,2017,4,540,,APARTMENT,PENTHOUSE,3500000,NORMAL_SALE,3,3,6,12,30,True,USA_HYPER_EQUIPPED,False,False,,True,36,,False,,,True,AS_NEW,50,B,0,False,BUY_REGULAR,,,,,,4,4,https://www.immoweb.be/en/classified/apartment/for-sale/Bruxelles/1000/10329107
10474732,Uccle,1180,2015,4,400,1400,HOUSE,VILLA,3350000,NORMAL_SALE,4,4,5,13,30,True,USA_HYPER_EQUIPPED,False,False,,True,50,,False,,,False,GOOD,60,B,0,False,BUY_REGULAR,GAS,,,,,2,2,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10474732
10582420,Uccle,1180,1935,4,660,3500,HOUSE,HOUSE,3500000,NORMAL_SALE,6,6,,12,,True,HYPER_EQUIPPED,False,False,,True,150,,False,,,True,TO_BE_DONE_UP,,E,0,False,BUY_REGULAR,GAS,,True,,,1,,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10582420
