bathroom_count,bedroom_count,build_year,cadastral_income,consumption_per_m2,epc,fireplace_count,fireplace_exists,furnish_exists,garden_exists,garden_orientation,garden_surface,gas_water_electricity_exists,habitable_surface,has_starting_price,heating_type,immoweb_id,is_holiday_property,kitchen_exists,kitchen_surface,kitchen_type,land_surface,living_surface,location,parking_box_count,parking_count_inside,parking_count_outside,postal_code,price,property_type,room_count,sale_type,sea_view_exists,sewer_exists,state_of_building,subtype,swimming_pool,terrace_exists,terrace_orientation,terrace_surface,toilet_count,transaction_subtype,url,wall_count
2,6,1830,3090,249,C,,False,False,False,,,True,725,False,,11090638,,False,,,323,,Gent,,2,,9000,2750000,HOUSE,8,NORMAL_SALE,,CONNECTED,GOOD,HOUSE,True,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/11090638,3
2,6,1930,1001,682,F,1,True,False,False,,,True,330,False,WOOD,10871584,,False,,,2657,,Drongen,,2,5,9031,2825000,HOUSE,12,NORMAL_SALE,,CONNECTED,GOOD,MANOR_HOUSE,,True,,,4,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Drongen/9031/10871584,4
6,9,,0,,,,False,False,True,,16500,True,1699,False,GAS,10449009,,True,15,INSTALLED,65193,40,Assenede Boekhoute,,1,60,9961,2950000,HOUSE,21,NORMAL_SALE,,CONNECTED,AS_NEW,CASTLE,False,True,,550,6,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Assenede-Boekhoute/9961/10449009,4
6,12,1981,7660,226,C,,False,False,False,,,True,780,False,GAS,10310047,False,True,,INSTALLED,237,,Oudenaarde,,3,,9700,2395000,HOUSE,18,NORMAL_SALE,,CONNECTED,AS_NEW,APARTMENT_BLOCK,False,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Oudenaarde/9700/10310047,
,0,2012,9832,,,,False,False,False,,,,991,False,,10936669,,False,,,1412,,Melle,,,,9090,2295000,HOUSE,,NORMAL_SALE,,,GOOD,APARTMENT_BLOCK,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Melle/9090/10936669,
,0,,6648,,,,False,False,False,,,,,False,GAS,9691188,,True,,INSTALLED,300,,Oudenaarde,,,,9700,2390000,HOUSE,,NORMAL_SALE,,,GOOD,APARTMENT_BLOCK,False,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Oudenaarde/9700/9691188,4
3,3,2020,0,126,A++,,False,False,True,SOUTH_WEST,38690,False,322,False,,10487629,,False,,,38690,,Belsele,,2,,9111,2250000,HOUSE,6,NORMAL_SALE,,CONNECTED,GOOD,VILLA,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Belsele/9111/10487629,4
4,5,1911,0,282,A++,,False,False,False,,,True,669,False,GAS,11049786,,False,,,2104,,Geraardsbergen,,4,4,9500,2350000,HOUSE,13,NORMAL_SALE,,CONNECTED,GOOD,HOUSE,,True,,,4,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Geraardsbergen/9500/11049786,4
3,3,1930,0,128,B,,False,False,False,,,,600,False,GAS,10182408,,True,,INSTALLED,4685,,Sint-Martens-Latem,,,4,9830,2400000,HOUSE,12,NORMAL_SALE,,CONNECTED,AS_NEW,EXCEPTIONAL_PROPERTY,,False,,,6,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Sint-Martens-Latem/9830/10182408,
4,5,1992,2377,246,C,,False,False,False,,,False,845,False,FUELOIL,10840972,,False,,,5070,,Bachte-Maria-Leerne,,3,,9800,2390000,HOUSE,9,NORMAL_SALE,,CONNECTED,GOOD,HOUSE,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Bachte-Maria-Leerne/9800/10840972,4
3,3,2020,0,126,B,,False,False,False,,,,322,False,GAS,11082173,,True,,HYPER_EQUIPPED,38690,,Waasmunster,,2,,9250,2250000,HOUSE,6,NORMAL_SALE,,,GOOD,HOUSE,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Waasmunster/9250/11082173,
3,8,,0,184,B,,False,False,False,,,True,,False,,10929984,,False,,,6752,,Merelbeke,,25,25,9820,2250000,HOUSE,11,NORMAL_SALE,,CONNECTED,GOOD,MIXED_USE_BUILDING,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Merelbeke/9820/10929984,4
3,8,,0,184,B,,False,False,False,,,True,,False,,10930002,,False,,,0,,Merelbeke,,25,25,9820,2250000,HOUSE,11,NORMAL_SALE,,CONNECTED,GOOD,MIXED_USE_BUILDING,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Merelbeke/9820/10930002,4
,0,1934,2154,144,B,,False,False,False,,,,1340,False,GAS,10903262,,False,,,,,Berlare,,,,9290,2250000,APARTMENT,,NORMAL_SALE,,,,APARTMENT,False,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Berlare/9290/10903262,4
,0,2020,0,126,B,,False,False,False,,,True,322,False,GAS,10958920,,False,,,38690,,Belsele,,2,,9111,2250000,HOUSE,,NORMAL_SALE,,CONNECTED,GOOD,VILLA,,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Belsele/9111/10958920,4
7,7,2025,0,,A,,False,False,False,,,,,False,,11126440,,False,,,,,Gent,,,,9000,2130000,APARTMENT,14,NORMAL_SALE,,,,APARTMENT,False,True,,6,,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Gent/9000/11126440,
2,5,1994,0,233,C,,False,False,False,,,,550,False,,10569484,,True,,INSTALLED,34000,,Nazareth,,3,,9810,2200000,HOUSE,7,NORMAL_SALE,,,,VILLA,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Nazareth/9810/10569484,
,2,,8367,146,B,,False,False,False,,,,1000,False,GAS,10629639,,True,10,HYPER_EQUIPPED,,28,Aalst,,11,9,9300,2150000,APARTMENT,3,NORMAL_SALE,,,GOOD,APARTMENT,,True,,,1,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Aalst/9300/10629639,2
4,4,2005,3913,189,B,,False,False,True,SOUTH_WEST,4462,True,460,False,GAS,11065236,,False,,,4462,,Lokeren,,3,,9160,2195000,HOUSE,13,NORMAL_SALE,,CONNECTED,GOOD,VILLA,True,False,,,5,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Lokeren/9160/11065236,4
1,2,1965,8205,137,B,,False,False,False,,,True,,,GAS,10753251,,True,,INSTALLED,0,,DENDERMONDE,,8,5,9200,1890000,HOUSE,4,NORMAL_SALE,,,JUST_RENOVATED,APARTMENT_BLOCK,,False,,,1,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/DENDERMONDE/9200/10753251,3
1,2,1965,8205,137,B,-1,True,False,False,,,True,,False,GAS,10802989,,True,,INSTALLED,0,,Dendermonde,,8,5,9200,1890000,HOUSE,4,NORMAL_SALE,,,JUST_RENOVATED,APARTMENT_BLOCK,,False,,,1,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Dendermonde/9200/10802989,3
3,6,1980,4164,449,E,,False,False,False,,,True,478,False,FUELOIL,11077959,,False,,,2452,,Sint-Martens-Latem,,2,4,9831,1950000,HOUSE,13,NORMAL_SALE,,CONNECTED,TO_RENOVATE,VILLA,True,True,,,4,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Sint-Martens-Latem/9831/11077959,4
,0,,0,,,,False,False,False,,,False,308,False,,11093182,,False,,,3833,,Gent,,,,9000,1950000,HOUSE,,NORMAL_SALE,,CONNECTED,,MANOR_HOUSE,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/11093182,
,3,,753,1514,F,,False,False,False,,,True,415,,,10935776,,False,,,59432,,SINT-MARTENS-LATEM,,,,9830,1950000,HOUSE,3,NORMAL_SALE,,,TO_RESTORE,COUNTRY_COTTAGE,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/SINT-MARTENS-LATEM/9830/10935776,4
,4,,0,,,,False,False,False,,,True,,False,,10552796,,False,,,2050,,St-Martens-Latem,,,,9830,1950000,HOUSE,4,NORMAL_SALE,,,TO_BE_DONE_UP,VILLA,,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/St-Martens-Latem/9830/10552796,4
,0,,0,,,,False,False,False,,,False,,False,,11093181,,False,,,3833,,Gent,,,,9000,1950000,HOUSE,,NORMAL_SALE,,CONNECTED,,MANOR_HOUSE,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/11093181,
