property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,type_of_sale,number_of_bedrooms,living_area,equiped_kitchen,furnished,open_fire,terrace,garden,surface_of_good,number_of_facades,swimming_pool,state_of_building
11155818,geraardsbergen,9500,349500,house,mixed_use_building,for sale,4,0,1,0,0,0,0,,0,0,GOOD
11155817,geraardsbergen,9500,100000,house,house,for sale,2,0,1,0,0,0,0,,0,0,TO_BE_DONE_UP
11155816,strombeek-bever,1853,399000,apartment,apartment,for sale,3,0,1,0,0,0,true,,0,0,GOOD
11155814,linkeroever,2050,175000,apartment,apartment,for sale,2,0,0,0,0,0,0,,0,0,
11155813,champion,5020,235000,house,house,for sale,3,0,0,0,0,0,true,,0,0,GOOD
11155812,overijse,3090,485000,house,house,for sale,3,0,1,0,0,0,true,,0,0,JUST_RENOVATED
11155811,lievegem,9930,379500,house,house,for sale,3,0,1,0,0,0,0,,0,0,
11155819,geraardsbergen,9500,449500,house,house,for sale,4,0,1,0,0,0,true,,0,0,GOOD
11155800,merchtem,1785,159000,apartment,apartment,for sale,1,0,1,0,0,0,0,,0,0,TO_RENOVATE
11155798,willebroek,2830,229000,house,house,for sale,4,0,1,0,0,0,0,,0,0,TO_BE_DONE_UP
11155799,vilvoorde,1800,695000,house,villa,for sale,3,0,1,0,0,270,true,,0,0,GOOD
11155803,couvin,5660,99000,house,house,for sale,4,0,1,0,0,0,0,,0,0,TO_RENOVATE
11155797,wemmel,1780,795000,house,apartment_block,for sale,4,0,1,0,0,0,true,,0,0,TO_BE_DONE_UP
11155772,mariakerke,9030,365000,house,house,for sale,3,0,0,0,0,0,0,,0,0,TO_RENOVATE
11155775,charleroi,6000,196000,apartment,duplex,for sale,3,0,1,0,0,0,true,,0,0,
11155776,geel,2440,599000,house,house,for sale,4,0,0,0,0,0,true,,0,0,
11155770,bassevelde,9968,349000,house,house,for sale,3,0,1,0,0,0,0,,0,0,TO_BE_DONE_UP
11155769,mons,7000,160000,house,house,for sale,2,0,1,0,0,0,true,,0,0,GOOD
11155764,charleville-m%C3%89zi%C3%88res,08000,265000,house,house,for sale,4,0,1,0,0,0,0,,0,0,AS_NEW
11155767,bassevelde,9968,349000,house,house,for sale,3,0,1,0,0,0,0,,0,0,GOOD
11155758,bierges,1301,449000,house,town_house,for sale,4,0,1,0,0,0,true,,0,0,
11155751,pelt,3900,479000,apartment,duplex,for sale,3,0,0,0,0,0,true,,0,0,AS_NEW
11155750,lommel,3920,289000,house,house,for sale,3,0,0,0,0,0,0,,0,0,TO_RENOVATE
11155749,lommel,3920,189000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,GOOD
11155752,bocholt,3950,230000,house,house,for sale,4,0,0,0,0,0,true,,0,0,TO_RENOVATE
11155743,zele,9240,429000,house,house,for sale,3,0,0,0,0,0,0,,0,0,
11155747,lommel,3920,1187000,house,house,for sale,3,0,1,0,0,0,true,,0,0,GOOD
11155744,pelt,3900,799000,house,house,for sale,7,0,1,0,0,0,true,,0,0,GOOD
11140885,gavere,9890,285325,apartment,ground_floor,for sale,1,0,1,0,0,0,true,,0,0,AS_NEW
11155742,pelt,3900,369000,house,house,for sale,3,0,0,0,0,0,true,,0,0,GOOD
11155741,lokeren,9160,175000,apartment,apartment,for sale,2,0,0,0,0,0,0,,0,0,
11140884,gavere,9890,347510,apartment,ground_floor,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11103658,gent,9000,295000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,AS_NEW
11153612,brugge-sint-michiels,8200,395000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11153970,blankenberge,8370,419000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11138192,anderlecht,1070,155000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,GOOD
11153483,uccle,1180,366500,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,JUST_RENOVATED
11139109,molenbeek-saint-jean,1080,195000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,TO_BE_DONE_UP
11153301,de-haan,8420,1550000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,
11137968,ronse,9600,219000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11139995,evere,1140,225000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,TO_BE_DONE_UP
11137767,woluwe-saint-pierre,1150,400000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,JUST_RENOVATED
11139161,woluwe-saint-lambert,1200,205000,apartment,flat_studio,for sale,0,0,1,0,0,0,0,,0,0,GOOD
11149718,kortrijk,8500,475000,house,house,for sale,4,0,1,0,0,0,true,,0,0,GOOD
11149661,bruxelles,1120,690000,house,house,for sale,6,0,0,0,0,150,true,,0,0,GOOD
11149315,anderlecht,1070,445000,house,house,for sale,3,0,1,0,0,60,true,,0,0,AS_NEW
11137853,gent,9000,585000,apartment,duplex,for sale,3,0,1,0,0,0,true,,0,0,GOOD
11149566,laeken,1020,795000,house,apartment_block,for sale,6,0,1,0,0,40,true,,0,0,GOOD
11139617,uccle,1180,489000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,JUST_RENOVATED
11150855,flemalle,4400,205000,house,apartment_block,for sale,2,0,1,0,0,0,true,,0,0,GOOD
11152288,herent,3020,425000,house,house,for sale,5,0,1,0,0,1200,true,,0,0,GOOD
11150854,flemalle,4400,205000,house,house,for sale,2,0,1,0,0,0,true,,0,0,GOOD
11152296,bonheiden,2820,485000,house,house,for sale,3,0,1,0,0,0,true,,0,0,GOOD
11151490,mechelen,2800,485000,house,house,for sale,3,0,1,0,0,190,0,,0,0,GOOD
11147427,tubize,1480,175000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,AS_NEW
11146296,gent,9000,419000,apartment,apartment,for sale,3,0,1,0,0,0,true,,0,0,AS_NEW
11147494,tubize,1480,233000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11146298,gent,9000,425000,apartment,penthouse,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11144528,berchem-sainte-agathe,1082,245000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11152762,sint-amandsberg,9040,295000,house,house,for sale,3,0,1,0,0,0,true,,0,0,TO_BE_DONE_UP
11155538,pepinster,4860,335000,house,mixed_use_building,for sale,4,0,0,0,0,0,true,,0,0,TO_RENOVATE
11155536,wichelen,9260,285000,house,house,for sale,3,0,1,0,0,358,true,,0,0,TO_RENOVATE
11155532,stabroek,2940,275000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,
11155515,zonnebeke,8980,239500 - 279500,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11155523,zeebrugge,8380,125000,apartment,flat_studio,for sale,1,0,1,0,0,0,0,,0,0,
11155512,kinrooi,3640,295000,apartment,penthouse,for sale,2,0,1,0,0,0,true,,0,0,
11155513,kinrooi,3640,325000,apartment,penthouse,for sale,2,0,1,0,0,0,true,,0,0,
11155514,kinrooi,3640,212000 - 325000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11155506,kinrooi,3640,267000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,
11155505,kinrooi,3640,282000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,
11155501,kinrooi,3640,284000,apartment,ground_floor,for sale,2,0,1,0,0,15,true,,0,0,
11155500,kinrooi,3640,298000,apartment,ground_floor,for sale,2,0,1,0,0,16,true,,0,0,
11155503,kinrooi,3640,263000,apartment,ground_floor,for sale,2,0,1,0,0,42,true,,0,0,
11155543,kortessem,3720,325000,house,house,for sale,4,0,0,0,0,0,0,,0,0,GOOD
11155504,kinrooi,3640,212000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,
11152416,as,3665,419000,house,house,for sale,4,0,1,0,0,0,0,,0,0,TO_BE_DONE_UP
11155497,vilvoorde,1800,439000,house,house,for sale,3,0,0,0,0,0,0,,0,0,
11155494,blankenberge,8370,299000,apartment,apartment,for sale,2,0,0,0,0,0,true,,0,0,
11155493,mechelen,2800,322500,house,house,for sale,3,0,1,0,0,0,true,,0,0,TO_RENOVATE
11155492,mechelen,2800,299000,house,house,for sale,7,0,1,0,0,0,0,,0,0,TO_RENOVATE
11155491,wevelgem,8560,365000,house,house,for sale,4,0,0,0,0,0,0,,0,0,AS_NEW
11155487,merksem,2170,360000,house,house,for sale,4,0,1,0,0,0,0,,0,0,TO_RENOVATE
11155488,kortrijk,8500,235000,house,house,for sale,3,0,0,0,0,100,0,,0,0,TO_RENOVATE
11155479,oostende,8400,235000,apartment,apartment,for sale,1,0,0,0,0,0,true,,0,0,
11155480,bredene,8450,299000,apartment,apartment,for sale,1,0,0,0,0,0,true,,0,0,GOOD
11155470,brasschaat,2930,695000,house,house,for sale,3,0,0,0,0,0,0,,0,0,
11155469,rumst,2840,268000,house,house,for sale,2,0,0,0,0,0,true,,0,0,
11155465,hamme,9220,379000,house,house,for sale,4,0,1,0,0,0,true,,0,0,TO_BE_DONE_UP
11155464,aalst%20%289300%29,9300,209000,house,house,for sale,2,0,0,0,0,0,0,,0,0,
10408959,temse,9140,289000 - 374000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11139767,blankenberge,8370,275000 - 795000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11137856,deinze,9800,270000 - 420000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11139537,herenthout,2270,265000 - 308000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11137662,wavre,1300,298000 - 298000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11139621,bruxelles,1000,325000 - 386000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11139589,bruxelles,1000,308000 - 354000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11139568,bruxelles,1000,355000 - 374000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11137907,wetteren,9230,328500 - 342000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
10991459,woluwe-st-lambert,1200,375000 - 980000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11139442,selange,6781,420000,house,house,for sale,5,0,1,0,0,0,true,,0,0,GOOD
11138277,oudergem,1160,480000 - 655000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11137886,deinze-astene,9800,378500 - 599500,house group,house_group,for sale,,0,0,0,0,0,0,,0,0,
11146297,gent,9000,419000,apartment,apartment,for sale,3,0,1,0,0,0,true,,0,0,AS_NEW
11149134,etterbeek,1040,1190000,house,apartment_block,for sale,5,0,1,0,0,50,true,,0,0,TO_BE_DONE_UP
